,Rank,Previous,Conference,Record,Road,Neutral,Home,Non Div I,W,L,Pct,GM,TO,TOPG,Opp TO,Avg,Ratio,ST,BLKS,ORebs,DRebs,REB,AST,3FG,3FGA,3FG%,3PG,Opp 3FGA,Opp 3FG,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,RPG,OPP REB,OPP RPG,REB MAR,Fouls,PFPG,DQ,FT,FTA,FT%,OPP FG,OPP FGA,OPP FG%,FGM,FGA,FG%,BKPG,APG
Kansas,1,1,Big 12,24-3,8-1,2-1,14-1,1-0,25,3,89.3,28,356,12.7,374,13.36,.6,216,138,291,788,1079,402,188,534,35.20,6.7,670,200,7.7,2109,75.3,1696,60.6,14,38.5,905,32.3,6,409,14.6,0,363,542,67.00,620,1652,37.500,779,1600,48.70,4.9,14.4
Baylor,2,2,Big 12,25-2,9-0,3-1,13-1,0-0,25,2,92.6,27,320,11.9,405,15.00,3.1,214,122,346,662,1008,379,212,597,35.50,7.9,512,156,7.9,1927,71.4,1585,58.7,12,37.3,890,33.0,4,445,16.5,0,339,486,69.80,570,1467,38.900,688,1593,43.20,4.5,14.0
Gonzaga,3,3,WCC,28-2,10-1,2-1,16-0,0-0,28,2,93.3,30,340,11.3,414,13.80,2.5,232,119,342,875,1217,515,231,597,38.70,7.7,629,200,7.7,2634,87.8,2020,67.3,20,40.6,942,31.4,9,439,14.6,0,493,721,68.40,775,1859,41.700,955,1863,51.30,4.0,17.2
Dayton,4,4,Atlantic 10,27-2,8-0,3-2,16-0,0-0,27,2,93.1,29,370,12.8,381,13.14,.4,169,100,228,778,1006,511,230,632,36.40,7.9,543,180,5.8,2320,80.0,1892,65.2,14,34.7,914,31.5,3,493,17.0,1,394,549,71.80,691,1662,41.600,848,1612,52.60,3.4,17.6
San Diego St.,5,5,Mountain West,26-1,10-0,3-0,13-1,1-0,27,1,96.4,28,305,10.9,399,14.25,3.4,194,80,265,736,1001,422,250,658,38.00,8.9,618,175,6.9,2102,75.1,1638,58.5,16,35.8,893,31.9,3,468,16.7,1,352,465,75.70,569,1499,38.000,750,1599,46.90,2.9,15.1
Duke,6,6,ACC,23-5,7-3,3-0,13-2,0-0,23,5,82.1,28,375,13.4,430,15.36,2.0,236,167,356,772,1128,442,198,564,35.10,7.1,458,138,8.4,2331,83.3,1910,68.2,15,40.3,964,34.4,5,506,18.1,0,439,621,70.70,708,1698,41.700,847,1782,47.50,6.0,15.8
Florida St.,7,7,ACC,24-4,6-4,3-0,15-0,0-0,24,4,85.7,28,376,13.4,470,16.79,3.4,249,154,319,670,989,374,212,590,35.90,7.6,602,192,8.9,2114,75.5,1834,65.5,10,35.3,921,32.9,2,486,17.4,0,380,500,76.00,623,1540,40.500,761,1663,45.80,5.5,13.4
Creighton,8,8,Big East,21-6,6-4,1-1,14-1,1-0,22,6,78.6,28,314,11.2,353,12.61,1.4,187,67,220,761,981,442,267,694,38.50,9.5,672,202,6.7,2189,78.2,1935,69.1,9,35.0,1034,36.9,-1,428,15.3,2,364,493,73.80,726,1747,41.600,779,1653,47.10,2.4,15.8
Maryland,9,9,Big Ten,23-5,5-5,3-0,15-0,0-0,23,5,82.1,28,326,11.6,335,11.96,.3,134,124,323,770,1093,372,218,693,31.50,7.8,634,202,4.8,2010,71.8,1773,63.3,8,39.0,963,34.4,4,419,15.0,0,456,608,75.00,649,1661,39.100,668,1605,41.60,4.4,13.3
Louisville,10,10,ACC,23-6,6-4,1-1,16-1,0-0,23,6,79.3,29,353,12.2,340,11.72,-0.4,147,80,318,807,1125,407,240,634,37.90,8.3,683,205,5.1,2174,75.0,1865,64.3,10,38.8,944,32.6,6,500,17.2,0,404,552,73.20,652,1676,38.900,765,1679,45.60,2.8,14.0
